title,authors,year,link
[LIBRO][B] Report of a workshop on the pedagogical aspects of computational thinking,", … for the Workshops on Computational Thinking",2011,https://books.google.com/books?hl=es&lr=&id=1EJBdHEsTFAC&oi=fnd&pg=PR1&dq=computational+thinking&ots=hT4876P0hM&sig=Zgk1iiYYRhOYFPOftTwjGkT65MY
Computational thinking and thinking about computing,"JM Wing - … Transactions of the Royal Society A …, 2008",2008,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2008.0118
Computational thinking,"JM Wing - Communications of the ACM, 2006",2006,https://dl.acm.org/doi/abs/10.1145/1118178.1118215
Demystifying computational thinking,"VJ Shute, C Sun, J Asbell-Clarke - Educational research review, 2017",2017,https://www.sciencedirect.com/science/article/pii/S1747938X17300350
[LIBRO][B] Report of a workshop on the scope and nature of computational thinking,", … for the Workshops on Computational Thinking",2010,https://books.google.com/books?hl=es&lr=&id=Rm5niifL0YsC&oi=fnd&pg=PR1&dq=computational+thinking&ots=9lwPEq8jVa&sig=OQ1YlBoPwWpSJ1CnMF5bN5Kv4p0
Computational thinking,"PB Henderson, TJ Cortina, JM Wing - Proceedings of the 38th SIGCSE …, 2007",2007,https://dl.acm.org/doi/pdf/10.1145/1227310.1227378
An overview of computational thinking,"FK Cansu, SK Cansu - … Journal of Computer Science Education in …, 2019",2019,https://www.ijcses.org/index.php/ijcses/article/view/53
[LIBRO][B] Computational thinking,"PJ Denning, M Tedre",2019,https://books.google.com/books?hl=es&lr=&id=XzyUDwAAQBAJ&oi=fnd&pg=PR5&dq=computational+thinking&ots=UIfQqZnjv8&sig=QUXMsGwwexsn4wKIaFjAGe60t8Y
Computational thinking,K Beecher,2017,https://dl.acm.org/doi/abs/10.5555/3169234
Thinking about computational thinking,"JJ Lu, GHL Fletcher - Proceedings of the 40th ACM technical …, 2009",2009,https://dl.acm.org/doi/abs/10.1145/1508865.1508959
